Component,Logical Increments Name,PassMark Name
CPU,G530,Intel Celeron G530 @ 2.40GHz
GPU,HD 6570,Radeon HD 6570
CPU,G630,Intel Pentium G630 @ 2.70GHz
GPU,HD 7750,Radeon HD 7750
CPU,955,AMD Phenom II X4 955
GPU,GTX 650 Ti,GeForce GTX 650 Ti
CPU,i3 3220,Intel Core i3-3220 @ 3.30GHz
GPU,HD 7850,Radeon HD 7850
CPU,FX-6300,AMD FX-6300 Six-Core
GPU,GTX 660,GeForce GTX 660
CPU,i5 3570K,Intel Core i5-3570K @ 3.40GHz
GPU,GTX 660 Ti,GeForce GTX 660 Ti
GPU,GTX 670,GeForce GTX 670
GPU,GTX 660 Ti x2,GeForce GTX 660 Ti
GPU,GTX 670 x2,GeForce GTX 670
CPU,G1610,Intel Celeron G1610 @ 2.60GHz
CPU,G2020,Intel Pentium G2020 @ 2.90GHz
CPU,965,AMD Phenom II X4 965
GPU,650 Ti Boost 1GB,GeForce GTX 650 Ti BOOST
GPU,650 Ti Boost 2GB,GeForce GTX 650 Ti BOOST
CPU,FX 6300,AMD FX-6300 Six-Core
CPU,i5 4670,Intel Core i5-4670 @ 3.40GHz
CPU,i5 4670K,Intel Core i5-4670K @ 3.40GHz
GPU,GTX 770,GeForce GTX 770
GPU,GTX 770 x2,GeForce GTX 770
CPU,i3 2120,Intel Core i3-2120 @ 3.30GHz
CPU,G1620,Intel Celeron G1620 @ 2.70GHz
GPU,R7 250,Radeon R7 250
CPU,X4 760K,AMD Athlon X4 760K Quad Core
GPU,HD 7850 1GB,Radeon HD 7850
CPU,i3 4330,Intel Core i3-4330 @ 3.50GHz
GPU,GTX 760,GeForce GTX 760
GPU,GTX 760 x2,GeForce GTX 760
GPU,GTX 780 x2,GeForce GTX 780
CPU,G3220,Intel Pentium G3220 @ 3.00GHz
GPU,R7 240,Radeon R7 240
GPU,R7 250X,Radeon R7 250X
GPU,GTX 750 Ti,GeForce GTX 750 Ti
